_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,category,category:confidence,image_broken,image_broken:confidence,category_gold,image_broken_gold,image_url,number,tag_1,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,val_1,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9
716864692,FALSE,finalized,3,5/7/15 12:21,16296-2059942,1,,1,,,https://t.pimg.jp/001/967/155/1/1967155.jpg,1967155,childish,,,,,,,,,little,very young,,,,,,,16296-679114,,,,,,,,,16296-681159,16296-2059942,,,,,,
716864693,FALSE,finalized,3,5/7/15 11:22,3889-700968,1,,1,,,https://t.pimg.jp/001/967/183/1/1967183.jpg,1967183,dismay,,,,,,,,,dread,fear,scare,terror,,,,,3889-688633,,,,,,,,,3889-688941,3889-680699,3889-700968,3889-704123,,,,
716864694,FALSE,finalized,3,5/7/15 10:37,21436-706735,1,,1,,,https://t.pimg.jp/001/970/413/1/1970413.jpg,1970413,cry,,,,,,,,,cry out,scream,screaming,shout,shouting,yell,yelling,,21436-687786,,,,,,,,,21436-687787,21436-679473,21436-679474,21436-679491,21436-679492,21436-679633,21436-706735,
716864695,FALSE,finalized,3,5/7/15 9:38,6513-681582,0.6875,,1,,,https://t.pimg.jp/001/970/523/1/1970523.jpg,1970523,mail,,,,,,,,,post,postal service,,,,,,,6513-681207,,,,,,,,,6513-681582,6513-707268,,,,,,
716864696,FALSE,finalized,3,5/7/15 11:09,13933-684021,1,,1,,,https://t.pimg.jp/001/979/006/1/1979006.jpg,1979006,banknote,paper-money,,,,,,,,banknotes,bank notes,bill,bills,currency notes,notes,paper currency,paper money,13933-684020,13933-758519,,,,,,,,13933-684021,13933-709718,13933-684510,13933-684519,13933-709721,13933-679374,13933-721846,13933-774644
716864697,FALSE,finalized,3,5/7/15 14:21,12344-686781,1,,1,,,https://t.pimg.jp/001/980/637/1/1980637.jpg,1980637,coffeecup,,,,,,,,,coffee cup,,,,,,,,12344-686791,,,,,,,,,12344-686781,,,,,,,
716864698,FALSE,finalized,3,5/7/15 13:13,19855-702258,1,,1,,,https://t.pimg.jp/001/982/834/1/1982834.jpg,1982834,snowflake,,,,,,,,,snowflakes,,,,,,,,19855-681890,,,,,,,,,19855-702258,,,,,,,
716864699,FALSE,finalized,3,5/7/15 13:13,2601-721868,1,,1,,,https://t.pimg.jp/002/001/236/1/2001236.jpg,2001236,aquarelle,,,,,,,,,watercolor,water color,watercolor painting,watercolour painting,,,,,2601-727019,,,,,,,,,2601-706011,2601-820465,2601-721868,2601-1434534,,,,
716864700,FALSE,finalized,3,5/7/15 14:07,19855-702258,1,,1,,,https://t.pimg.jp/002/003/760/1/2003760.jpg,2003760,snowflake,,,,,,,,,snowflakes,,,,,,,,19855-681890,,,,,,,,,19855-702258,,,,,,,
716864701,FALSE,finalized,3,5/7/15 10:12,19855-702258,1,,1,,,https://t.pimg.jp/002/005/925/1/2005925.jpg,2005925,snowflake,,,,,,,,,snowflakes,,,,,,,,19855-681890,,,,,,,,,19855-702258,,,,,,,
716864702,FALSE,finalized,3,5/7/15 10:03,6513-681582,1,,1,,,https://t.pimg.jp/002/007/559/1/2007559.jpg,2007559,mail,,,,,,,,,post,postal service,,,,,,,6513-681207,,,,,,,,,6513-681582,6513-707268,,,,,,
716864703,FALSE,finalized,3,5/7/15 10:34,none,1,,1,,,https://t.pimg.jp/002/008/662/1/2008662.jpg,2008662,snowflake,,,,,,,,,snowflakes,,,,,,,,19855-681890,,,,,,,,,19855-702258,,,,,,,
716864704,FALSE,finalized,3,5/7/15 12:00,27355-792633,1,,1,,,https://t.pimg.jp/002/015/663/1/2015663.jpg,2015663,face down,,,,,,,,,prone position,,,,,,,,27355-792633,,,,,,,,,27355-1587310,,,,,,,
716864705,FALSE,finalized,3,5/7/15 11:46,27355-1587310,1,,1,,,https://t.pimg.jp/002/015/668/1/2015668.jpg,2015668,face down,,,,,,,,,prone position,,,,,,,,27355-792633,,,,,,,,,27355-1587310,,,,,,,
